Experiment_id,condition_label,label_pH,first_raw_pH,median_raw_pH,raw_pH_min,raw_pH_max,pH_first_minus_label,label_DO,first_raw_DO_percent,median_raw_DO_percent,raw_DO_min,raw_DO_max,DO_min_minus_label,label_glucose_g_l,first_offline_glucose_g_l,glucose_first_minus_label,label_AFR_ml_min,first_raw_air_flow_ml_min,median_raw_air_flow_ml_min,raw_air_flow_min,raw_air_flow_max,air_median_minus_label
AMBR1_13,pH8.5_DO100_G10_AFR100,8.5,8.46414078778375,8.47833260711181,8.46414078778375,8.59902372110058,-0.035859212216250214,100.0,99.8720195738069,100.032775313902,98.7697956937449,103.50835203972,-1.2302043062551036,10.0,10.13757904,0.13757904000000032,100.0,104.986314866519,101.63799537291149,0.0,105.049640300765,1.6379953729114902
AMBR1_14,pH8_DO100_G10_AFR100,8.0,7.98085251592313,8.0841248402661,7.97131798058789,8.09995529432825,-0.01914748407687039,100.0,99.9466321100108,100.032727007554,95.2292218173466,106.676264458674,-4.770778182653402,10.0,10.19338875,0.19338875000000044,100.0,104.963529319921,92.01669141429664,0.0,105.054683537747,-7.983308585703355
AMBR1_15,pH7.5_DO100_G10_AFR100,7.5,7.47914260034155,7.5731457148545,7.47136084318358,7.60029259268607,-0.020857399658449793,100.0,99.8696364985357,100.086223266237,92.1826712967424,123.097061361132,-7.817328703257601,10.0,10.11023542,0.11023542000000042,100.0,104.958267602474,83.12392095659725,0.0,105.048875071795,-16.876079043402754
AMBR1_16,pH7_DO100_G10_AFR100,7.0,7.00179818801586,7.06629435308171,6.96987998494956,7.10009977683095,0.0017981880158597363,100.0,99.9006302362845,100.056866983211,87.85074409601,119.895346151621,-12.149255903989996,10.0,10.31303216,0.31303216000000056,100.0,104.888013618423,93.9827190180306,0.0,105.064394670119,-6.017280981969407
AMBR1_17,pH6.5_DO100_G10_AFR100,6.5,6.50111967061284,6.55893536659155,6.46999746976075,6.6009077372335,0.001119670612840018,100.0,99.9016850061955,100.067666958186,95.2633307050207,119.972826445334,-4.7366692949792935,10.0,10.11772947,0.11772947000000045,100.0,104.957581289238,90.1957192296538,0.0,105.084061815686,-9.804280770346196
AMBR1_18,pH6_DO100_G10_AFR100,6.0,6.03450735557395,6.028567287065904,5.97028433158826,6.10019428164851,0.03450735557395035,100.0,99.9159280184346,99.9911668474706,93.8895870838948,111.820046595729,-6.110412916105204,10.0,10.19375353,0.1937535300000004,100.0,104.911969917231,87.8829047783962,0.0,105.044014238526,-12.117095221603805
AMBR1_19,pH5.5_DO100_G10_AFR100,5.5,5.49837606961542,5.511353252371355,5.47029204810011,5.59967527275676,-0.0016239303845804187,100.0,99.8724248869149,99.99507239931015,72.2031210546809,114.240397480052,-27.796878945319094,10.0,9.9625653,-0.037434700000000376,100.0,104.861648312537,92.921427457193,0.0,105.030265973606,-7.078572542806995
AMBR1_20,pHNA_DO0_G10_AFR100,,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,10.0,nan,nan,100.0,nan,nan,nan,nan,nan
AMBR1_21,pH7.5_DO80_G10_AFR100,7.5,7.47019848198447,7.5600004196167,7.46998039246901,7.60291178442604,-0.029801518015529993,80.0,99.6396036621589,96.38940810840094,74.1817453623787,102.347868854454,-5.818254637621294,10.0,10.34880376,0.34880375999999913,100.0,104.984285895079,88.8389806979715,0.0,105.063173282275,-11.161019302028507
AMBR1_22,pH7.5_DO60_G10_AFR100,7.5,7.47450071924927,7.57269208288903,7.47032636895737,7.60000668033234,-0.025499280750730158,60.0,99.4562195300956,95.4618082784505,54.2033481282652,102.261695360043,-5.796651871734802,10.0,10.15674251,0.15674251000000083,100.0,105.010395353363,94.50046326775521,0.0,105.062372819009,-5.499536732244792
AMBR1_23,pH7.5_DO40_G10_AFR100,7.5,7.46989030176827,7.59187947290779,7.46989030176827,7.60020124814302,-0.03010969823172971,40.0,99.4873096901626,95.7094016802339,33.7839319928807,102.237515376526,-6.216068007119297,10.0,10.16767909,0.16767909000000003,100.0,104.989500693056,99.336152873347,0.0,105.064799909239,-0.6638471266529962
AMBR1_24,pH7.5_DO20_G10_AFR100,7.5,7.46917609066309,7.54699993133545,7.46917609066309,7.60402328872385,-0.030823909336909594,20.0,99.6537922416429,96.4643187781136,15.2567923243944,102.495932095802,-4.7432076756056,10.0,10.35650101,0.35650101000000056,100.0,105.002288063708,104.936396787096,0.0,105.091494348695,4.936396787096001
AMBR2_5,pH6.5_DO100_G10_AFR100,6.5,6.47481813109983,6.5644097302305,6.47051857451725,6.60037442409464,-0.02518186890017038,100.0,100.05291221901,100.0041362936315,95.059359288865,178.702318062503,-4.9406407111350035,10.0,10.19,0.1899999999999995,100.0,105.008335791081,103.6408344223255,0.0,105.008335791081,3.640834422325497
AMBR2_6,pH7.5_DO100_G10_AFR100,7.5,7.47583423987447,7.5819181909713596,7.46877862653354,7.60100067823565,-0.024165760125529623,100.0,99.9877639491172,100.0081051452105,93.6639338635764,161.267815564562,-6.336066136423597,10.0,10.26,0.2599999999999998,100.0,104.969362014087,103.064811312722,0.0,104.969362014087,3.064811312722
AMBR2_7,pH6.5_DO20_G10_AFR100,6.5,6.47261632546022,6.573085909958875,6.4705168007799,6.60036243319784,-0.027383674539779967,20.0,99.7416286959729,95.8103649714359,14.9682049039223,99.7416286959729,-5.031795096077699,10.0,10.05,0.05000000000000071,100.0,104.998002802892,104.994537739848,0.0,105.072827678976,4.994537739847999
AMBR2_8,pH7.5_DO20_G10_AFR100,7.5,7.54514784928862,7.57688557955697,7.46917970595169,7.61190202932708,0.04514784928861992,20.0,99.9357255229983,94.6481862296454,15.7558751539907,99.9357255229983,-4.244124846009299,10.0,10.27,0.2699999999999996,100.0,105.018291366471,104.99695716043,0.0,105.077121777495,4.99695716043
AMBR2_9,pH6.3_DO20_G20_AFR100,6.3,6.32568178653507,6.34294217648287,6.27048345993869,6.40236332032867,0.025681786535070472,20.0,99.6911064634308,85.9250040684922,13.9646144424739,99.6911064634308,-6.0353855575261,20.0,20.56,0.5599999999999987,100.0,104.976390101971,104.9852360920055,0.0,105.064652218451,4.9852360920054934
AMBR2_10,pH6.3_DO20_G20_AFR100,6.3,6.27118887451186,6.35599946975708,6.27040887053517,6.40381049886289,-0.02881112548814002,20.0,100.101020847838,86.172015205414,12.9230636912482,100.101020847838,-7.076936308751799,20.0,20.25,0.25,100.0,105.018571223836,104.9785225069575,0.0,105.059297589098,4.978522506957503
AMBR2_11,pH6.5_DO20_G4_AFR100,6.5,6.47309683468081,6.56545509634951,6.47064614286657,6.60348800491236,-0.026903165319190236,20.0,99.9102922306669,99.09599905291155,15.1144742711864,111.829456829991,-4.885525728813599,4.0,4.02,0.019999999999999574,100.0,105.008960940054,104.9950758282735,0.0,105.073788798575,4.9950758282734995
AMBR2_12,pH7.5_DO20_G4_AFR100,7.5,7.48934091936634,7.58200025558472,7.46908445742671,7.60619606151889,-0.010659080633660167,20.0,100.062064803323,98.88299714412949,14.2263172825362,112.874569204256,-5.7736827174637995,4.0,4.16,0.16000000000000014,100.0,104.951782551709,104.9924929297825,0.0,105.065009866845,4.9924929297825
AMBR2_13,pH6.5_DO20_G7_AFR100,6.5,6.55801498759984,6.5959997177124,6.47051859877041,6.60008042277337,0.05801498759984014,20.0,99.9601456664065,97.8086722266265,10.3853301288692,131.575079399059,-9.6146698711308,7.0,7.17,0.16999999999999993,100.0,104.974918841039,104.995777292905,0.0,105.068557003182,4.995777292905004
AMBR2_14,pH7.5_DO20_G7_AFR100,7.5,7.50616215639653,7.529479947386809,7.46831557514876,7.60091825194503,0.006162156396530172,20.0,99.7941504003225,97.3190420480311,11.9622225613761,160.720368096814,-8.0377774386239,7.0,6.84,-0.16000000000000014,100.0,104.974430864562,104.992580334618,0.0,105.076130728734,4.9925803346179976
AMBR2_15,pH6.5_DO5_G10_AFR100,6.5,6.52872793078597,6.57454614835637,6.47033545442726,6.60093232921828,0.028727930785970024,5.0,99.7897994482874,95.8245776740505,1.1690850984818,99.7897994482874,-3.8309149015182,10.0,10.21,0.21000000000000085,100.0,104.978706972295,104.991375289467,0.0,105.056592018311,4.991375289467001
AMBR2_16,pH7.5_DO5_G10_AFR100,7.5,7.58747636226006,7.58421315479393,7.46999202178417,7.60792007047067,0.08747636226005984,5.0,100.01777704561,94.4922848104974,1.08778525151161,100.01777704561,-3.91221474848839,10.0,10.34,0.33999999999999986,100.0,105.042940883865,104.996273135839,0.0,105.066145115244,4.9962731358390045
AMBR2_17,pH6.5_DO0_G10_AFR0,6.5,6.47320445025467,6.47542945523939,6.47182692519392,6.48527621202546,-0.02679554974533005,0.0,97.5096919353835,-0.240936201182168,-0.280194077889185,97.5096919353835,-0.280194077889185,10.0,9.87,-0.13000000000000078,0.0,0.0,0.0,0.0,0.0,0.0
AMBR2_18,pH7.5_DO0_G10_AFR0,7.5,7.49456539699031,7.472386133574885,7.47109208648275,7.49456539699031,-0.005434603009690342,0.0,98.3715711401503,-0.216553297657806,-0.245338965698036,98.3715711401503,-0.245338965698036,10.0,10.12,0.11999999999999922,0.0,0.0,0.0,0.0,0.0,0.0
AMBR2_19,pH7.3_DO0_G10_AFR60,7.3,7.32737344012529,7.39134159793472,7.27085171777945,7.40044547636362,0.02737344012528986,0.0,99.9421017203847,85.83042984698059,-0.481968705146553,99.9421017203847,-0.481968705146553,10.0,10.22,0.22000000000000064,60.0,59.9827433510295,59.99600429116995,0.0,60.0660382074241,-0.003995708830046851
AMBR2_20,pH7.3_DO0_G10_AFR40,7.3,7.39073464209236,7.316203790986825,7.27091949409129,7.4035210120912,0.09073464209236004,0.0,99.694146721337,81.9409253406377,-0.420991422979403,99.694146721337,-0.420991422979403,10.0,10.28,0.27999999999999936,40.0,40.0046703076371,39.998192165653,0.0,40.0527034649888,-0.0018078343469980496
AMBR2_21,pH7.3_DO0_G10_AFR20,7.3,7.34913387048729,7.27216614164647,7.27087948715228,7.40008016507629,0.049133870487290565,0.0,99.9930840722479,25.30032537266215,-0.43215636222512,99.9930840722479,-0.43215636222512,10.0,10.4,0.40000000000000036,20.0,19.9986932174403,19.9966686559477,0.0,20.0782881723394,-0.0033313440522988458
AMBR2_22,pH7.3_DO0_G10_AFR10,7.3,7.39607874588798,7.27311051843633,7.2711365145052,7.40046969017871,0.09607874588798015,0.0,99.9705356813514,-0.37797449954582,-0.402155748812363,99.9705356813514,-0.402155748812363,10.0,10.44,0.4399999999999995,10.0,10.0059463459701,10.0010302540679,0.0,10.031812422451,0.00103025406789925
AMBR2_23,pH7.3_DO0_G10_AFR5,7.3,7.3945964301226,7.2719288675361,7.27086301497659,7.39995980318128,0.09459643012259988,0.0,99.5512821282685,-0.368808869423534,-0.390551354756142,99.5512821282685,-0.390551354756142,10.0,10.23,0.23000000000000043,5.0,4.9989980696492,5.00218724795666,0.0,5.02045611989364,0.00218724795665981
AMBR2_24,pH7.5_DO0_G10_AFR0,7.5,7.49256546336541,7.47227632438373,7.47069358829199,7.53293268152405,-0.007434536634590039,0.0,99.0408520903107,-0.413170248924766,-0.439491104179508,99.0408520903107,-0.439491104179508,10.0,10.17,0.16999999999999993,0.0,0.0,0.0,0.0,0.0,0.0
